WeatherID,Station,latitude,longitude,Borough,City,State,ZipCode,Temperature_Max,Temperature_Avg,Temperature_M,Dewpot_Max,Dewpot_Avg,Dewpot_M,Humidity_Max,Humidity_Avg,Humidity_M,Wdspeed_Max,Wdspeed_Avg,Wdspeed_M,Pressure_Max,Pressure_M,Precipitation_Total,Level,Weather_Type,Year,Month,Month_Number,Day
0,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.2,38.1,33.9,26.9,21.9,16.9,60,51,45,28.4,11.3,1.3,30.1,29.96,0,Level_2,Windy,2016,January,1,1
1,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,39.4,35.2,32.4,19.3,17.5,14,56,48,42,25.3,10.1,0,30.11,29.95,0,Level_1,Windy,2016,January,1,2
2,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,44.7,38.6,34.5,23.5,21.1,19.5,60,49,36,28.4,10.8,1.6,29.97,29.78,0,Level_4,Windy,2016,January,1,3
3,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,35.6,25.9,12.1,23.8,9,-0.8,62,48,31,36.5,10.2,1.1,30.39,29.86,0,Level_1,Windy,2016,January,1,4
4,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,28.8,18.5,10,6.5,-0.2,-6.9,64,45,21,27.5,6.2,0,30.64,30.37,0,Level_1,Windy,2016,January,1,5
5,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,42.1,31.8,21.3,10.9,4,-2.6,53,32,15,17.7,4.7,0,30.6,30.41,0,Level_1,Sunny,2016,January,1,6
6,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,46.7,37.1,28.1,16.1,10.1,3.6,49,33,17,11.6,2.5,0,30.42,30.18,0,Level_2,Sunny,2016,January,1,7
7,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,43.1,37.7,30.4,34,24.5,8.7,72,59,36,23,5.4,0,30.26,30.16,0,Level_2,Windy,2016,January,1,8
8,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,44.7,42.2,38.2,43,37.3,31,94,82,71,25.7,6.5,0,30.23,30.05,0,Level_4,Windy,2016,January,1,9
9,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.1,49.4,40.3,55.8,43.8,23.5,97,83,46,52.3,14.2,0,30.06,29.29,2,Level_4,Storm,2016,January,1,10
10,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,40.2,31.4,25.1,23,7.7,0.6,50,36,24,40.5,16.3,2,30.14,29.6,0,Level_1,Windy,2016,January,1,11
11,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,43,32,22.8,29.8,14.3,1.3,78,48,33,32.7,8.1,0,30.12,29.64,0,Level_1,Windy,2016,January,1,12
12,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,28.7,24.7,21.6,6.5,3.8,0.6,49,40,30,45,16.3,2,30.04,29.73,0,Level_1,Windy,2016,January,1,13
13,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36.4,28.9,21.3,22.6,12.1,1.4,70,49,40,24.6,8.6,0,30,29.88,0,Level_1,Windy,2016,January,1,14
14,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,46.9,39.6,30.8,41.5,31.6,21.9,94,73,59,15.7,2.6,0,29.97,29.54,0.01,Level_2,Light_Snow,2016,January,1,15
15,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,51.1,44.4,41.2,41.2,36.1,28.6,96,74,51,20.6,7.8,0,29.78,29.34,0.27,Level_4,Heavy_Snow,2016,January,1,16
16,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.7,33.5,28.2,31.3,22.2,16.7,92,64,48,15.2,5.3,0,29.91,29.69,0.03,Level_2,Light_Snow,2016,January,1,17
17,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,30.5,25,17.7,24.7,10.4,-0.4,79,55,34,39.1,14.1,1.8,29.99,29.67,0,Level_1,Windy,2016,January,1,18
18,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,28.5,22.1,15.5,11.9,2.7,0.1,50,43,31,38.5,14.2,2.7,30.15,29.95,0,Level_1,Windy,2016,January,1,19
19,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36.9,31.3,27.2,15.3,14.1,11.6,58,48,38,19,6.8,0,30.23,30.06,0,Level_1,Sunny,2016,January,1,20
20,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,37.1,29.8,25,13.8,10.9,5.2,58,45,32,25.3,7.1,0,30.26,30.06,0,Level_1,Windy,2016,January,1,21
21,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,28.2,24.8,19.1,14,4.4,2.8,60,41,34,19,5.5,0,30.33,30.11,0,Level_1,Sunny,2016,January,1,22
22,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,26.4,24.5,22.3,25.7,22.5,15.3,97,92,65,60.2,11.8,0,30.13,29.61,0.01,Level_1,Light_Snow,2016,January,1,23
23,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36.2,28.2,20.6,15.7,9.8,6.2,68,46,31,23.7,6.6,0,30.13,29.72,0.46,Level_1,Heavy_Snow,2016,January,1,24
24,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.3,32.3,23.8,24.7,18,12.5,75,55,40,11.6,2.7,0,30.33,30.1,0.28,Level_1,Heavy_Snow,2016,January,1,25
25,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,48.9,41.5,30.5,31.3,29,20.9,83,61,49,21.9,6.5,0,30.22,29.91,0,Level_2,Windy,2016,January,1,26
26,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,46.7,41.2,31.5,32.2,22.6,15.2,63,48,30,21.9,6.6,0,30.15,29.91,0,Level_2,Windy,2016,January,1,27
27,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,44.5,36.6,26.8,25.3,20.4,17.9,79,53,36,18.3,4.2,0,30.15,29.66,0,Level_2,Sunny,2016,January,1,28
28,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,40.8,36.5,29.5,26,20.8,15.2,60,52,43,28.2,7.9,0,29.85,29.45,0.25,Level_1,Heavy_Snow,2016,January,1,29
29,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,40.9,33.9,27.1,21.5,16.2,13.6,61,48,37,23.3,6.6,0,30.11,29.84,0,Level_1,Windy,2016,January,1,30
30,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,58.1,43.7,36,37.8,28.2,21.6,83,56,30,17.4,6.2,0,30,29.78,0,Level_4,Sunny,2016,January,1,31
31,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.1,50.2,41.4,40.2,33.6,24.4,75,53,38,18.6,5.7,0,30.1,29.73,0,Level_1,Sunny,2016,February,2,1
32,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,51.8,42.5,34.3,30.7,24.9,22.2,69,50,33,13.9,3.3,0,30.39,30.09,0.03,Level_2,Light_Snow,2016,February,2,2
33,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,56.6,48.5,38.1,54.4,44.4,28.5,96,85,64,29.5,6.6,0,30.35,29.79,1.05,Level_4,SnowStorm,2016,February,2,3
34,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.7,51.6,42.6,54.9,39.4,24.2,95,65,43,19.2,5.5,0,30.1,29.86,0,Level_4,Sunny,2016,February,2,4
35,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,42.7,34.3,29.8,34.5,24.1,14,98,69,37,32.2,8.4,1.1,30.34,30.04,0.5,Level_1,SnowStorm,2016,February,2,5
36,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,42.3,35.3,28.6,21.8,17.5,14.5,59,48,36,19.2,6.9,0,30.46,30.26,0,Level_2,Sunny,2016,February,2,6
37,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,47.5,38.9,30.7,27,21.8,17,68,51,31,25.7,5,0,30.27,29.91,0,Level_2,Sunny,2016,February,2,7
38,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38.2,32.3,26.3,28.5,23.3,19.4,92,70,47,22.8,6.4,0,29.91,29.72,0.08,Level_1,Light_Snow,2016,February,2,8
39,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36.5,29.5,24.6,24.6,21.6,19.4,85,72,54,15,4.3,0,29.78,29.56,0,Level_1,Sunny,2016,February,2,9
40,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38.9,34,30.4,30.3,22.1,13.6,93,63,42,30.6,9.3,0,29.76,29.58,0.02,Level_1,Light_Snow,2016,February,2,10
41,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,30.5,22.9,17,20.8,1.3,-5.7,89,39,28,42.3,14.7,1.6,30.2,29.73,0.01,Level_1,Light_Snow,2016,February,2,11
42,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,25.8,20.5,14.5,5.9,-0.5,-4.5,50,39,28,34.7,9.4,0,30.28,29.92,0,Level_1,Windy,2016,February,2,12
43,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,21.9,15.4,4.1,12.1,-5.1,-17.8,70,41,22,39.4,14.1,2.2,30.33,29.86,0,Level_1,Windy,2016,February,2,13
44,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,15.7,7.3,-2.3,-9.4,-16.2,-19.9,56,33,22,36.7,8.9,0,30.58,30.3,0,Level_1,Windy,2016,February,2,14
45,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,34,20.9,10.2,33.4,11.5,-13.4,97,69,30,17.4,4.4,0,30.59,30.08,0.39,Level_1,Heavy_Snow,2016,February,2,15
46,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,56,47,33.9,53.6,42.3,24.7,98,84,58,42.7,11,0,30.09,29.41,1.37,Level_4,SnowStorm,2016,February,2,16
47,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38.9,36.9,34.1,25.8,23.5,20.1,66,58,50,26.4,8.7,0,30.21,29.77,0,Level_2,Windy,2016,February,2,17
48,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36,30.6,25.3,23,6.9,-0.9,63,37,20,25.7,8.1,0.9,30.56,30.2,0,Level_1,Windy,2016,February,2,18
49,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38.5,30.5,20.9,31.3,13.2,1.2,75,49,30,21.5,6,0,30.63,30.17,0,Level_1,Windy,2016,February,2,19
50,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.9,50.7,38.5,35.7,31.1,26.2,78,48,32,30.9,10.2,0,30.19,29.79,0,Level_4,Windy,2016,February,2,20
51,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,54.2,50.2,43.3,37.6,32.5,29.3,71,51,38,24.2,4.9,0,29.99,29.8,0.02,Level_4,Light_Rain,2016,February,2,21
52,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,53.3,43.4,36.3,31.1,24.7,12.8,67,49,27,15.2,4.7,0,30.29,29.97,0,Level_2,Sunny,2016,February,2,22
53,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38,35.2,33.8,33.2,28.4,10.8,94,78,36,45,11.8,0,30.35,30.18,0.41,Level_4,SnowStorm,2016,February,2,23
54,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,60.4,44.5,34.6,58.2,43.4,33.2,97,96,89,47.2,13.8,0,30.2,29.33,1.81,Level_4,SnowStorm,2016,February,2,24
55,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,59.5,47.5,37.5,56.3,39.2,21.9,97,73,50,36,13.9,0,29.56,29.21,0.02,Level_4,Light_Snow,2016,February,2,25
56,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,38.1,32.6,26.2,21.9,9.8,0.2,55,39,22,37.8,13.4,0,30.12,29.54,0,Level_1,Windy,2016,February,2,26
57,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.5,33.5,25.3,18.7,12.3,7.1,50,41,29,26.6,9.8,0,30.15,29.97,0,Level_1,Windy,2016,February,2,27
58,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.2,48,37.2,33.3,24.7,18.5,63,41,27,28,9.4,1.6,30.01,29.74,0,Level_4,Windy,2016,February,2,28
59,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,60.3,49.6,40.2,40.9,32.5,24,76,53,34,38.7,10.8,0,29.96,29.6,0.09,Level_4,Light_Rain,2016,February,2,29
60,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,51.3,44.2,37.5,46.1,25.2,7.7,82,49,25,22.8,7.6,0,30.21,29.64,0,Level_4,Windy,2016,March,3,1
61,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,54,41.3,27.3,50.5,22.7,6.6,95,50,28,54.6,13.4,1.3,30.12,29.45,0.22,Level_4,SnowStorm,2016,March,3,2
62,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,36.6,30.2,24.2,20.3,7.3,2.6,58,38,24,21.3,6.9,0,30.29,30.11,0,Level_1,Windy,2016,March,3,3
63,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,40.1,32.6,28.2,27.5,22,14.4,92,67,42,21.3,5.8,0,30.2,29.99,0.14,Level_1,Light_Snow,2016,March,3,4
64,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,39.3,33.6,27.1,19.3,7.9,-1.5,58,35,18,17.4,4.5,0,30.24,30.09,0,Level_1,Sunny,2016,March,3,5
65,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,45.4,36.4,29.6,22.8,12.9,4.6,59,37,30,19.2,3.7,0,30.33,30.2,0,Level_2,Sunny,2016,March,3,6
66,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.1,47.7,34.1,35.2,30.1,23.1,71,51,34,36.7,8.4,0,30.31,29.96,0,Level_4,Windy,2016,March,3,7
67,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,64.7,52.4,43.6,40.4,35.8,32.8,86,55,33,20.1,4,0,30.19,30.05,0,Level_1,Sunny,2016,March,3,8
68,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,75.9,58,40.3,42.6,40.4,37.2,94,57,26,18.1,4.5,0,30.17,29.98,0,Level_2,Sunny,2016,March,3,9
69,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,77.6,70.6,63.7,54.4,46.4,42.8,63,42,31,23.3,6.6,0,30.05,29.87,0,Level_2,Windy,2016,March,3,10
70,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,67,57.5,47.1,55.3,40.6,27.9,93,56,28,20.4,6.8,0,30.37,29.88,0.1,Level_1,Light_Rain,2016,March,3,11
71,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.8,49.2,36.9,39.2,31.7,25.1,64,51,29,24.6,6.4,0,30.38,29.99,0,Level_4,Windy,2016,March,3,12
72,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.3,55.7,50.1,38.9,32.9,25.4,62,43,26,17,4.8,0,30.13,29.95,0,Level_1,Sunny,2016,March,3,13
73,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,50.8,43.1,39.2,41.4,36.2,27.9,93,78,41,43.6,11.6,0,30.17,29.9,0.33,Level_4,SnowStorm,2016,March,3,14
74,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.5,49,43.4,44.6,42.7,41.4,94,80,58,28.9,5.5,0,29.92,29.76,0.01,Level_4,Light_Rain,2016,March,3,15
75,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,65,52.8,43.6,45.9,43.1,40.8,92,71,47,23.7,4.3,0,29.9,29.75,0.02,Level_4,Light_Rain,2016,March,3,16
76,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,62.9,51.5,42.7,43.6,37.8,27.9,94,62,30,34.9,7.3,0,29.93,29.74,0.02,Level_4,Light_Rain,2016,March,3,17
77,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,56,50.2,42.3,34.2,25.4,20.4,54,38,25,39.8,10.5,0,29.98,29.77,0,Level_4,Windy,2016,March,3,18
78,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,46.3,40.6,33.7,24.3,13.4,5.8,50,34,19,22.6,4.5,0,30.17,29.96,0,Level_2,Sunny,2016,March,3,19
79,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,39.2,34.7,30.5,30.9,16,4.4,92,48,26,21.7,7.2,0,30.2,29.95,0,Level_1,Windy,2016,March,3,20
80,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,49,38.6,30.7,31.2,21.5,4.4,95,58,16,40,8.7,0,30.04,29.75,0.2,Level_4,Light_Snow,2016,March,3,21
81,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,55,44.1,34.7,34.1,20.5,15.4,52,39,22,29.5,11.1,1.1,30.21,30,0,Level_4,Windy,2016,March,3,22
82,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,71.1,57.4,48.1,35.7,31.2,28.7,53,38,21,23,7.6,0,30.07,29.91,0,Level_2,Windy,2016,March,3,23
83,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,52.3,45.3,41.4,41.3,35.9,30.8,96,70,52,27.5,9.7,0,30.15,29.87,0,Level_4,Windy,2016,March,3,24
84,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,72.5,56.4,42.3,58.2,46.1,32.4,96,71,37,23.7,5.8,0,30.06,29.69,0.03,Level_2,Light_Rain,2016,March,3,25
85,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,51.8,43.3,36.5,35.5,30,24.1,80,59,43,22.1,6.5,0,30.42,30.06,0,Level_4,Windy,2016,March,3,26
86,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,53.5,44.7,40.5,36.6,34.6,33.5,80,68,51,16.6,5.6,0,30.44,30.17,0,Level_4,Sunny,2016,March,3,27
87,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,61.8,46.8,40.3,47.6,38.7,28.3,95,76,38,76.1,12.2,0,30.17,29.5,0.56,Level_4,SnowStorm,2016,March,3,28
88,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,52.5,46.5,39.9,28.8,18.8,8.2,53,34,19,52.1,14.9,2.7,30.24,29.67,0,Level_4,Windy,2016,March,3,29
89,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,53.7,44.2,34.4,34.6,18.7,8.3,64,37,18,29.1,7.1,0,30.4,30.14,0,Level_4,Windy,2016,March,3,30
90,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,70,58.7,47.5,52.6,42.9,23.3,84,57,36,28.4,9.5,0,30.17,29.78,0,Level_4,Windy,2016,March,3,31
91,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,78.5,63,56.8,59.7,54.8,44.2,93,76,45,29.8,7.1,0,29.8,29.45,0.04,Level_2,Light_Rain,2016,April,4,1
92,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,60,52.1,47,45.9,42.6,36.7,89,70,50,28.2,5.7,0,29.68,29.28,0.21,Level_4,Light_Rain,2016,April,4,2
93,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,50,37.4,33,44.5,16.3,3.1,92,46,23,59.5,13.8,0,30.06,29.23,0.31,Level_4,SnowStorm,2016,April,4,3
94,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.7,35.9,29.1,40,27.2,10.9,94,73,36,14.8,5.4,0,30.09,29.81,0.61,Level_2,Heavy_Snow,2016,April,4,4
95,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.8,32.4,24.5,21.3,8.5,-0.9,73,39,18,23.7,7.6,0,30.41,30.07,0,Level_1,Windy,2016,April,4,5
96,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,45.3,38,27.3,38.6,15.8,3,78,41,24,30.4,7.5,0,30.42,29.98,0,Level_2,Windy,2016,April,4,6
97,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,59.1,52.8,44.7,52.8,44.4,36.9,92,74,50,34.2,10,0,29.99,29.36,0.22,Level_4,Storm,2016,April,4,7
98,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,51.8,44.9,39.2,38.6,26.2,18.5,66,48,33,40.7,13.3,0,29.81,29.46,0,Level_4,Windy,2016,April,4,8
99,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.7,38.3,33.2,35.1,25.5,16.7,90,61,41,19,5,0,30.02,29.71,0.09,Level_2,Light_Snow,2016,April,4,9
100,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,50.2,39.7,30.6,29.6,16.9,9.1,59,40,18,30,8.5,0,30.35,30,0,Level_4,Windy,2016,April,4,10
101,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,60.3,51,42.5,46.2,38.1,25.1,79,61,43,24.4,8.3,0,30.35,29.98,0.01,Level_4,Light_Rain,2016,April,4,11
102,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.7,50.7,44,51.4,36.3,18.7,95,62,27,21.3,7.3,0,30.31,29.91,0.27,Level_4,Heavy_Rain,2016,April,4,12
103,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.4,46.5,37.3,33.2,25.1,18.9,66,44,25,16.6,4.3,0,30.44,30.29,0,Level_1,Sunny,2016,April,4,13
104,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,62,49,41.1,34.2,26.9,19.7,68,44,19,19.5,5.4,0,30.42,30.28,0,Level_4,Sunny,2016,April,4,14
105,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,66.6,49.8,39.4,35.4,28,12.7,81,48,15,16.8,4.8,0,30.5,30.36,0,Level_1,Sunny,2016,April,4,15
106,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,64.8,51.7,40.5,36.1,25.9,13.2,79,43,14,17.2,4.5,0,30.5,30.37,0,Level_1,Sunny,2016,April,4,16
107,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,74.9,55.8,43.2,36.8,30.8,20.8,74,43,16,18.6,4.2,0,30.48,30.26,0,Level_2,Sunny,2016,April,4,17
108,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,80.1,62.8,45.7,35.7,31.5,27.5,61,34,14,17.9,4.1,0,30.29,30.07,0,Level_2,Sunny,2016,April,4,18
109,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,69.4,64.5,55.9,42.7,31.7,18.9,41,30,16,20.8,7.2,0,30.16,29.94,0,Level_2,Windy,2016,April,4,19
110,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,67.7,56.1,47.8,35.8,22,3.5,58,29,7,28.6,5.6,0,30.29,30.15,0,Level_4,Windy,2016,April,4,20
111,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,69.7,60,49.2,48.3,36,22.2,61,41,22,28.4,7.7,0,30.23,29.96,0,Level_2,Windy,2016,April,4,21
112,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,78.9,70.2,59.4,57,52.8,43.8,72,54,42,22.6,6.5,0,30,29.8,0,Level_2,Windy,2016,April,4,22
113,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,71,62.7,54.7,60.3,48,28.2,93,62,35,24.4,5.7,0,29.98,29.76,0.37,Level_2,Heavy_Rain,2016,April,4,23
114,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,67,53.7,45.2,38.8,23.2,15.4,68,32,16,23.3,5.7,0,30.13,29.96,0,Level_4,Windy,2016,April,4,24
115,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,66,56.6,46.7,45.5,38,23.4,76,52,24,15,3.4,0,30.07,29.85,0,Level_1,Sunny,2016,April,4,25
116,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,54.2,50.1,44.8,49.6,46.1,38.5,94,86,72,19.9,6,0,29.89,29.66,0.71,Level_4,Heavy_Rain,2016,April,4,26
117,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,59.6,51.4,44.4,43.7,39.3,34.2,80,64,44,23.7,6.1,0,29.96,29.86,0,Level_4,Windy,2016,April,4,27
118,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.4,50.9,44.4,44,29.4,20.3,77,45,23,18.8,4.7,0,30.09,29.91,0,Level_1,Sunny,2016,April,4,28
119,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,52.6,49,44.1,41.9,36.6,30.9,89,62,48,20.6,5.1,0,30.18,30.03,0.08,Level_4,Light_Rain,2016,April,4,29
120,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,62.7,51.7,44,42.1,37,30.6,90,59,30,17.9,4.7,0,30.27,30.15,0,Level_1,Sunny,2016,April,4,30
121,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,49,46.9,43.4,45.1,40.6,34.3,95,79,57,21.5,4.6,0,30.25,30.08,0.22,Level_4,Heavy_Snow,2016,May,5,1
122,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,59.6,50.5,43.1,51.7,46.7,41.9,96,87,68,16.1,3.4,0,30.12,29.89,0,Level_1,Sunny,2016,May,5,2
123,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,54.5,51.4,50.1,52,49.3,47.5,95,92,84,21,4.5,0,29.95,29.8,0.72,Level_4,Heavy_Rain,2016,May,5,3
