CID,unique_key,agency,agency_name,complaint_type,status,city,borough,incident_zip,latitude,longitude,Created_Year,Created_Month,Created_Month_Number,Created_Day,Created_Date,Closed_Year,Closed_Month,Closed_Month_Number,Closed_Day,Closed_Date,state
0,45244842,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.70475321,-73.88497841,2019,December,12,25,2019-12-25,2020,January,1,3,2020-01-03,NY
1,17573251,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.67258229,-73.87754275,2010,July,7,3,2010-07-03,2010,July,7,6,2010-07-06,NY
2,43202583,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bayside,Queens,11360,40.77435649,-73.78037073,2019,July,7,5,2019-07-05,2019,July,7,9,2019-07-09,NY
3,17574216,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11223,40.6064722,-73.98326069,2010,July,7,3,2010-07-03,2010,July,7,22,2010-07-22,NY
4,45245555,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bellerose,Queens,11426,40.73369602,-73.72207931,2019,December,12,26,2019-12-26,2020,March,3,31,2020-03-31,NY
5,45245562,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10466,40.89152155,-73.85388673,2019,December,12,26,2019-12-26,2020,September,9,25,2020-09-25,NY
6,39498033,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.68560339,-73.87742509,2018,June,6,19,2018-06-19,2019,October,10,20,2019-10-20,NY
7,17574396,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bayside,Queens,11360,40.7836576,-73.77708293,2010,July,7,3,2010-07-03,2010,September,9,10,2010-09-10,NY
8,17574540,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11358,40.76991622,-73.79110059,2010,July,7,3,2010-07-03,2010,July,7,6,2010-07-06,NY
9,44067986,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10025,40.80162003,-73.96254039,2019,October,10,16,2019-10-16,2019,October,10,17,2019-10-17,NY
10,39572677,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,South_Ozone_Park,Queens,11420,40.68097166,-73.82540728,2018,June,6,26,2018-06-26,2020,April,4,2,2020-04-02,NY
11,36117580,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Springfield_Gardens,Queens,11413,40.67312465,-73.7522966,2017,May,5,5,2017-05-05,2017,August,8,9,2017-08-09,NY
12,36117581,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11366,40.73297499,-73.77388599,2017,May,5,5,2017-05-05,2017,May,5,6,2017-05-06,NY
13,44215660,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10465,40.82527525,-73.82249938,2019,November,11,2,2019-11-02,2020,January,1,7,2020-01-07,NY
14,39994471,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10463,40.88159402,-73.9216311,2018,August,8,13,2018-08-13,2020,April,4,6,2020-04-06,NY
15,45248003,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11217,40.67838529,-73.98141116,2019,December,12,26,2019-12-26,2020,January,1,2,2020-01-02,NY
16,36126660,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Saint_Albans,Queens,11412,40.69967439,-73.7664831,2017,May,5,6,2017-05-06,2017,May,5,9,2017-05-09,NY
17,41923298,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,College_Point,Queens,11356,40.78680936,-73.8444314,2019,March,3,10,2019-03-10,2020,March,3,26,2020-03-26,NY
18,36274648,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.71054094,-73.89852723,2017,May,5,24,2017-05-24,2019,June,6,26,2019-06-26,NY
19,36401158,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Jamaica,Queens,11435,40.71614795,-73.81786238,2017,June,6,9,2017-06-09,2019,June,6,14,2019-06-14,NY
20,45249636,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.78194613,-73.81330599,2019,December,12,26,2019-12-26,2020,February,2,4,2020-02-04,NY
21,39768389,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10455,40.81261603,-73.91661862,2018,July,7,18,2018-07-18,2019,July,7,29,2019-07-29,NY
22,40008539,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.78667276,-73.82569344,2018,August,8,14,2018-08-14,2020,February,2,26,2020-02-26,NY
23,17576203,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11219,40.62996825,-73.98828773,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
24,36152776,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11229,40.60532541,-73.95471318,2017,May,5,10,2017-05-10,2018,December,12,10,2018-12-10,NY
25,43521980,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,College_Point,Queens,11356,40.77961441,-73.83970004,2019,August,8,11,2019-08-11,2019,August,8,12,2019-08-12,NY
26,17576302,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11238,40.68386595,-73.95805629,2010,July,7,4,2010-07-04,2010,July,7,26,2010-07-26,NY
27,17576344,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11221,40.69267398,-73.92559624,2010,July,7,4,2010-07-04,2010,August,8,3,2010-08-03,NY
28,17576350,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10466,40.8971504,-73.84305183,2010,July,7,4,2010-07-04,2014,December,12,8,2014-12-08,NY
29,17576414,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11222,40.73243281,-73.95354433,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
30,17576688,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Little_Neck,Queens,11363,40.77319049,-73.74841145,2010,July,7,4,2010-07-04,2010,July,7,13,2010-07-13,NY
31,17576784,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10464,40.8516711,-73.78679176,2010,July,7,4,2010-07-04,2014,December,12,11,2014-12-11,NY
32,17576790,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.62767579,-73.960916,2010,July,7,4,2010-07-04,2011,January,1,4,2011-01-04,NY
33,17576826,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.77793446,-73.81744425,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
34,17576898,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.61206895,-73.93643716,2010,July,7,4,2010-07-04,2010,July,7,8,2010-07-08,NY
35,17576940,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10002,40.7212488,-73.99223644,2010,July,7,4,2010-07-04,2010,July,7,20,2010-07-20,NY
36,17576944,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11358,40.75346032,-73.78897575,2010,July,7,4,2010-07-04,2010,August,8,26,2010-08-26,NY
37,41733575,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.77794897,-73.79351982,2019,February,2,18,2019-02-18,2020,March,3,30,2020-03-30,NY
38,17577002,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11102,40.77573052,-73.92602336,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
39,17577017,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11223,40.60679596,-73.98237827,2010,July,7,4,2010-07-04,2010,July,7,12,2010-07-12,NY
40,17577131,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11236,40.63567202,-73.91600022,2010,July,7,4,2010-07-04,2010,July,7,20,2010-07-20,NY
41,36171287,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10013,40.72286525,-74.0104623,2017,May,5,12,2017-05-12,2017,June,6,5,2017-06-05,NY
42,17577272,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11217,40.68524221,-73.98463631,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
43,41875308,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11355,40.76069181,-73.81054996,2019,March,3,5,2019-03-05,2020,March,3,24,2020-03-24,NY
44,41889147,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11102,40.77674968,-73.92313735,2019,March,3,6,2019-03-06,2021,May,5,26,2021-05-26,NY
45,36172896,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Kew_Gardens,Queens,11415,40.71164943,-73.83054638,2017,May,5,12,2017-05-12,2017,June,6,8,2017-06-08,NY
46,42007173,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10128,40.77983656,-73.95171309,2019,March,3,20,2019-03-20,2019,July,7,25,2019-07-25,NY
47,17577526,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11217,40.68524221,-73.98463631,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
48,45132403,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Glen_Oaks,Queens,11004,40.73934126,-73.7139292,2019,December,12,6,2019-12-06,2019,December,12,26,2019-12-26,NY
49,45141570,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11106,40.76511449,-73.93147539,2019,December,12,11,2019-12-11,2019,December,12,16,2019-12-16,NY
50,36185777,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11105,40.77868398,-73.91069621,2017,May,5,14,2017-05-14,2017,June,6,6,2017-06-06,NY
51,36187323,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,South_Richmond_Hill,Queens,11419,40.6888609,-73.83143725,2017,May,5,14,2017-05-14,2017,May,5,19,2017-05-19,NY
52,36187768,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11211,40.71517058,-73.94621556,2017,May,5,14,2017-05-14,2017,September,9,25,2017-09-25,NY
53,36188283,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Jamaica,Queens,11433,40.69682648,-73.77960194,2017,May,5,14,2017-05-14,2017,June,6,23,2017-06-23,NY
54,36190276,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10038,40.70808239,-74.0034013,2017,May,5,15,2017-05-15,2017,May,5,15,2017-05-15,NY
55,45143765,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.61130252,-73.9305888,2019,December,12,11,2019-12-11,2020,September,9,9,2020-09-09,NY
56,36193854,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Queens_Village,Queens,11429,40.70520893,-73.74624067,2017,May,5,15,2017-05-15,2017,December,12,8,2017-12-08,NY
57,43778952,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.7002587,-73.90790166,2019,September,9,12,2019-09-12,2019,November,11,6,2019-11-06,NY
58,45146221,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Middle_Village,Queens,11379,40.71507889,-73.8743516,2019,December,12,11,2019-12-11,2020,December,12,23,2020-12-23,NY
59,42738517,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11231,40.68128791,-73.99505334,2019,May,5,21,2019-05-21,2020,April,4,1,2020-04-01,NY
60,45151286,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Jamaica,Queens,11436,40.67483899,-73.79496024,2019,December,12,13,2019-12-13,2019,December,12,16,2019-12-16,NY
61,47244002,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,East_Elmhurst,Queens,11369,40.76869158,-73.87634796,2020,August,8,14,2020-08-14,2021,October,10,20,2021-10-20,NY
62,36251511,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Far_Rockaway,Queens,11691,40.61184813,-73.77135007,2017,May,5,22,2017-05-22,2017,May,5,31,2017-05-31,NY
63,36251771,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11215,40.65738686,-73.97659466,2017,May,5,23,2017-05-23,2017,May,5,26,2017-05-26,NY
64,36252656,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Rosedale,Queens,11422,40.67395376,-73.7375272,2017,May,5,22,2017-05-22,2017,August,8,9,2017-08-09,NY
65,45154913,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11365,40.73195588,-73.79393295,2019,December,12,13,2019-12-13,2019,December,12,16,2019-12-16,NY
66,45154986,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Maspeth,Queens,11378,40.73003654,-73.90118195,2019,December,12,13,2019-12-13,2019,December,12,20,2019-12-20,NY
67,42947438,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Woodside,Queens,11377,40.73666727,-73.90371607,2019,June,6,12,2019-06-12,2020,January,1,22,2020-01-22,NY
68,45157150,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11231,40.68380496,-73.99815034,2019,December,12,14,2019-12-14,2020,November,11,6,2020-11-06,NY
69,17613471,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11211,40.71941588,-73.95731603,2010,July,7,9,2010-07-09,2010,July,7,19,2010-07-19,NY
70,17613482,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11209,40.61252618,-74.03392466,2010,July,7,9,2010-07-09,2010,July,7,12,2010-07-12,NY
71,17613565,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11203,40.64132985,-73.93410679,2010,July,7,9,2010-07-09,2010,July,7,22,2010-07-22,NY
72,17613679,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11210,40.62376445,-73.9414765,2010,July,7,9,2010-07-09,2010,July,7,12,2010-07-12,NY
73,17613685,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11222,40.73671348,-73.95770909,2010,July,7,9,2010-07-09,2010,July,7,19,2010-07-19,NY
74,17613898,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Glen_Oaks,Queens,11004,40.74083271,-73.71545648,2010,July,7,9,2010-07-09,2010,August,8,23,2010-08-23,NY
75,17613897,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Glen_Oaks,Queens,11004,40.74093435,-73.71549213,2010,July,7,9,2010-07-09,2010,July,7,13,2010-07-13,NY
76,17613899,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11219,40.63732703,-73.9883657,2010,July,7,9,2010-07-09,2010,July,7,22,2010-07-22,NY
77,17613996,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11358,40.77321901,-73.80088532,2010,July,7,9,2010-07-09,2010,August,8,8,2010-08-08,NY
78,17614058,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Kew_Gardens,Queens,11415,40.70570713,-73.83440269,2010,July,7,9,2010-07-09,2010,July,7,12,2010-07-12,NY
79,17614150,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.77467956,-73.80108675,2010,July,7,9,2010-07-09,2010,July,7,13,2010-07-13,NY
80,17614546,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11210,40.62764134,-73.94993547,2010,July,7,9,2010-07-09,2010,July,7,22,2010-07-22,NY
81,17615060,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11209,40.62388447,-74.02099083,2010,July,7,9,2010-07-09,2010,July,7,22,2010-07-22,NY
82,17615075,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.61221225,-73.97254777,2010,July,7,9,2010-07-09,2010,July,7,27,2010-07-27,NY
83,17615214,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.79385493,-73.8269784,2010,July,7,9,2010-07-09,2010,August,8,10,2010-08-10,NY
84,17615243,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.62521567,-73.9217232,2010,July,7,9,2010-07-09,2010,July,7,20,2010-07-20,NY
85,17615279,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11106,40.76330372,-73.92821392,2010,July,7,9,2010-07-09,2010,July,7,14,2010-07-14,NY
86,17615467,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Jamaica,Queens,11435,40.69057158,-73.80738484,2010,July,7,9,2010-07-09,2010,July,7,14,2010-07-14,NY
87,17615502,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,South_Richmond_Hill,Queens,11419,40.68726499,-73.82154344,2010,July,7,9,2010-07-09,2010,July,7,16,2010-07-16,NY
88,17615508,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11232,40.66142681,-73.99958189,2010,July,7,9,2010-07-09,2010,August,8,9,2010-08-09,NY
89,45158105,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11106,40.76510078,-73.93148263,2019,December,12,14,2019-12-14,2019,December,12,17,2019-12-17,NY
90,17615946,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.61701945,-73.95790739,2010,July,7,9,2010-07-09,2010,July,7,9,2010-07-09,NY
91,45158144,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.61453701,-73.92795609,2019,December,12,14,2019-12-14,2020,March,3,10,2020-03-10,NY
92,36270222,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10035,40.79766761,-73.93726401,2017,May,5,24,2017-05-24,2017,May,5,26,2017-05-26,NY
93,42658417,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11365,40.73222059,-73.79771354,2019,May,5,13,2019-05-13,2019,November,11,19,2019-11-19,NY
94,45161490,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Staten_Island,Staten_Island,10306,40.57663841,-74.11412421,2019,December,12,14,2019-12-14,2020,February,2,14,2020-02-14,NY
95,42679256,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.61170422,-73.93702098,2019,May,5,15,2019-05-15,2020,April,4,3,2020-04-03,NY
96,18231544,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.79297999,-73.80665517,2010,July,7,10,2010-07-10,2010,July,7,12,2010-07-12,NY
97,43072073,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11214,40.60356886,-74.01143755,2019,June,6,24,2019-06-24,2019,July,7,9,2019-07-09,NY
98,43072077,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11218,40.64172484,-73.97520928,2019,June,6,24,2019-06-24,2019,December,12,12,2019-12-12,NY
99,45166658,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11367,40.72338639,-73.81473274,2019,December,12,15,2019-12-15,2019,December,12,16,2019-12-16,NY
100,45166672,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10001,40.74611922,-73.99648128,2019,December,12,15,2019-12-15,2019,December,12,16,2019-12-16,NY
101,42885343,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.62195971,-73.95691726,2019,June,6,6,2019-06-06,2019,July,7,17,2019-07-17,NY
102,45172568,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11210,40.63169106,-73.95265612,2019,December,12,16,2019-12-16,2020,March,3,19,2020-03-19,NY
103,45172876,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11204,40.61578671,-73.97580242,2019,December,12,16,2019-12-16,2020,January,1,27,2020-01-27,NY
104,45174241,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11229,40.60176645,-73.95058147,2019,December,12,16,2019-12-16,2020,February,2,10,2020-02-10,NY
105,42724936,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.7059231,-73.87759332,2019,May,5,20,2019-05-20,2019,September,9,23,2019-09-23,NY
106,45176055,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.68687439,-73.87007425,2019,December,12,16,2019-12-16,2020,January,1,3,2020-01-03,NY
107,36279978,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10463,40.88831514,-73.91310592,2017,May,5,25,2017-05-25,2017,May,5,26,2017-05-26,NY
108,45184079,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10463,40.88945286,-73.90447491,2019,December,12,17,2019-12-17,2019,December,12,23,2019-12-23,NY
109,45185370,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10471,40.90190684,-73.89960244,2019,December,12,17,2019-12-17,2019,December,12,23,2019-12-23,NY
110,36281925,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,East_Elmhurst,Queens,11369,40.7613395,-73.88263902,2017,May,5,25,2017-05-25,2017,June,6,8,2017-06-08,NY
111,43038985,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Oakland_Gardens,Queens,11364,40.74916815,-73.76118465,2019,June,6,21,2019-06-21,2019,July,7,12,2019-07-12,NY
112,17583854,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10024,40.78700234,-73.97551269,2010,July,7,6,2010-07-06,2010,July,7,15,2010-07-15,NY
113,17583911,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11214,40.6067203,-73.99408648,2010,July,7,6,2010-07-06,2010,July,7,20,2010-07-20,NY
114,17584025,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Woodhaven,Queens,11421,40.69266342,-73.85647173,2010,July,7,6,2010-07-06,2010,July,7,9,2010-07-09,NY
115,42736153,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.61448974,-73.96978423,2019,May,5,21,2019-05-21,2019,August,8,1,2019-08-01,NY
116,45195031,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Little_Neck,Queens,11362,40.76155859,-73.73749964,2019,December,12,18,2019-12-18,2020,January,1,21,2020-01-21,NY
117,17584087,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Staten_Island,Staten_Island,10312,40.54068865,-74.20088279,2010,July,7,6,2010-07-06,2010,July,7,8,2010-07-08,NY
118,17584097,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11365,40.73673473,-73.80348057,2010,July,7,6,2010-07-06,2010,July,7,6,2010-07-06,NY
119,17584172,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.61841893,-73.96499894,2010,July,7,6,2010-07-06,2010,July,7,7,2010-07-07,NY
120,17584174,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11365,40.73467254,-73.79821848,2010,July,7,6,2010-07-06,2010,July,7,6,2010-07-06,NY
121,17584203,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11230,40.62891549,-73.95823493,2010,July,7,6,2010-07-06,2010,July,7,26,2010-07-26,NY
122,45195504,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Staten_Island,Staten_Island,10308,40.53890594,-74.15168158,2019,December,12,18,2019-12-18,2019,December,12,23,2019-12-23,NY
123,17584315,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11228,40.61504514,-74.00789888,2010,July,7,6,2010-07-06,2010,July,7,22,2010-07-22,NY
124,17584382,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10470,40.8975924,-73.86719545,2010,July,7,6,2010-07-06,2013,March,3,27,2013-03-27,NY
125,17584391,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11214,40.60190295,-74.00941341,2010,July,7,6,2010-07-06,2010,July,7,22,2010-07-22,NY
126,17584452,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.68536135,-73.88220304,2010,July,7,6,2010-07-06,2010,July,7,8,2010-07-08,NY
127,42740816,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11224,40.575943,-74.00196907,2019,May,5,22,2019-05-22,2020,February,2,13,2020-02-13,NY
128,45197896,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10461,40.85351973,-73.85271588,2019,December,12,19,2019-12-19,2019,December,12,27,2019-12-27,NY
129,42742120,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11211,40.70507434,-73.95688519,2019,May,5,22,2019-05-22,2019,November,11,1,2019-11-01,NY
130,17584575,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Astoria,Queens,11105,40.77637697,-73.91995685,2010,July,7,6,2010-07-06,2010,July,7,9,2010-07-09,NY
131,17584629,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Oakland_Gardens,Queens,11364,40.754537,-73.75214185,2010,July,7,6,2010-07-06,2010,July,7,26,2010-07-26,NY
132,17584682,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11234,40.62637699,-73.91079553,2010,July,7,6,2010-07-06,2011,January,1,13,2011-01-13,NY
133,17584700,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Rosedale,Queens,11422,40.67832797,-73.72881761,2010,July,7,6,2010-07-06,2010,July,7,12,2010-07-12,NY
134,17584719,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Hollis,Queens,11423,40.71858169,-73.76309437,2010,July,7,6,2010-07-06,2010,July,7,20,2010-07-20,NY
135,17584757,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11367,40.72234825,-73.81952661,2010,July,7,6,2010-07-06,2010,July,7,9,2010-07-09,NY
